InputsCode,Penalty,Radius,VolFrac
01-A-P3-R1.750-V0.200,3,1.75,0.2
01-A-P3-R1.750-V0.250,3,1.75,0.25
01-A-P3-R1.750-V0.300,3,1.75,0.3
01-A-P3-R1.750-V0.350,3,1.75,0.35
01-A-P3-R1.750-V0.400,3,1.75,0.4
01-A-P3-R1.750-V0.450,3,1.75,0.45
01-A-P3-R1.750-V0.500,3,1.75,0.5
01-A-P3-R1.750-V0.550,3,1.75,0.55
01-A-P3-R1.750-V0.600,3,1.75,0.6
01-A-P3-R1.750-V0.650,3,1.75,0.65
01-A-P3-R2.000-V0.200,3,2.0,0.2
01-A-P3-R2.000-V0.250,3,2.0,0.25
01-A-P3-R2.000-V0.300,3,2.0,0.3
01-A-P3-R2.000-V0.350,3,2.0,0.35
01-A-P3-R2.000-V0.400,3,2.0,0.4
01-A-P3-R2.000-V0.450,3,2.0,0.45
01-A-P3-R2.000-V0.500,3,2.0,0.5
01-A-P3-R2.000-V0.550,3,2.0,0.55
01-A-P3-R2.000-V0.600,3,2.0,0.6
01-A-P3-R2.000-V0.650,3,2.0,0.65
01-A-P3-R2.250-V0.200,3,2.25,0.2
01-A-P3-R2.250-V0.250,3,2.25,0.25
01-A-P3-R2.250-V0.300,3,2.25,0.3
01-A-P3-R2.250-V0.350,3,2.25,0.35
01-A-P3-R2.250-V0.400,3,2.25,0.4
01-A-P3-R2.250-V0.450,3,2.25,0.45
01-A-P3-R2.250-V0.500,3,2.25,0.5
01-A-P3-R2.250-V0.550,3,2.25,0.55
01-A-P3-R2.250-V0.600,3,2.25,0.6
01-A-P3-R2.250-V0.650,3,2.25,0.65
01-A-P3-R2.500-V0.200,3,2.5,0.2
01-A-P3-R2.500-V0.250,3,2.5,0.25
01-A-P3-R2.500-V0.300,3,2.5,0.3
01-A-P3-R2.500-V0.350,3,2.5,0.35
01-A-P3-R2.500-V0.400,3,2.5,0.4
01-A-P3-R2.500-V0.450,3,2.5,0.45
01-A-P3-R2.500-V0.500,3,2.5,0.5
01-A-P3-R2.500-V0.550,3,2.5,0.55
01-A-P3-R2.500-V0.600,3,2.5,0.6
01-A-P3-R2.500-V0.650,3,2.5,0.65
01-A-P3-R2.750-V0.200,3,2.75,0.2
01-A-P3-R2.750-V0.250,3,2.75,0.25
01-A-P3-R2.750-V0.300,3,2.75,0.3
01-A-P3-R2.750-V0.350,3,2.75,0.35
01-A-P3-R2.750-V0.400,3,2.75,0.4
01-A-P3-R2.750-V0.450,3,2.75,0.45
01-A-P3-R2.750-V0.500,3,2.75,0.5
01-A-P3-R2.750-V0.550,3,2.75,0.55
01-A-P3-R2.750-V0.600,3,2.75,0.6
01-A-P3-R2.750-V0.650,3,2.75,0.65
01-A-P3-R3.000-V0.200,3,3.0,0.2
01-A-P3-R3.000-V0.250,3,3.0,0.25
01-A-P3-R3.000-V0.300,3,3.0,0.3
01-A-P3-R3.000-V0.350,3,3.0,0.35
01-A-P3-R3.000-V0.400,3,3.0,0.4
01-A-P3-R3.000-V0.450,3,3.0,0.45
01-A-P3-R3.000-V0.500,3,3.0,0.5
01-A-P3-R3.000-V0.550,3,3.0,0.55
01-A-P3-R3.000-V0.600,3,3.0,0.6
01-A-P3-R3.000-V0.650,3,3.0,0.65
01-A-P3-R4.000-V0.200,3,4.0,0.2
01-A-P3-R4.000-V0.250,3,4.0,0.25
01-A-P3-R4.000-V0.300,3,4.0,0.3
01-A-P3-R4.000-V0.350,3,4.0,0.35
01-A-P3-R4.000-V0.400,3,4.0,0.4
01-A-P3-R4.000-V0.450,3,4.0,0.45
01-A-P3-R4.000-V0.500,3,4.0,0.5
01-A-P3-R4.000-V0.550,3,4.0,0.55
01-A-P3-R4.000-V0.600,3,4.0,0.6
01-A-P3-R4.000-V0.650,3,4.0,0.65
01-A-P3-R5.000-V0.200,3,5.0,0.2
01-A-P3-R5.000-V0.250,3,5.0,0.25
01-A-P3-R5.000-V0.300,3,5.0,0.3
01-A-P3-R5.000-V0.350,3,5.0,0.35
01-A-P3-R5.000-V0.400,3,5.0,0.4
01-A-P3-R5.000-V0.450,3,5.0,0.45
01-A-P3-R5.000-V0.500,3,5.0,0.5
01-A-P3-R5.000-V0.550,3,5.0,0.55
01-A-P3-R5.000-V0.600,3,5.0,0.6
01-A-P3-R5.000-V0.650,3,5.0,0.65
01-A-P3-R6.000-V0.200,3,6.0,0.2
01-A-P3-R6.000-V0.250,3,6.0,0.25
01-A-P3-R6.000-V0.300,3,6.0,0.3
01-A-P3-R6.000-V0.350,3,6.0,0.35
01-A-P3-R6.000-V0.400,3,6.0,0.4
01-A-P3-R6.000-V0.450,3,6.0,0.45
01-A-P3-R6.000-V0.500,3,6.0,0.5
01-A-P3-R6.000-V0.550,3,6.0,0.55
01-A-P3-R6.000-V0.600,3,6.0,0.6
01-A-P3-R6.000-V0.650,3,6.0,0.65
01-A-P3-R8.000-V0.200,3,8.0,0.2
01-A-P3-R8.000-V0.250,3,8.0,0.25
01-A-P3-R8.000-V0.300,3,8.0,0.3
01-A-P3-R8.000-V0.350,3,8.0,0.35
01-A-P3-R8.000-V0.400,3,8.0,0.4
01-A-P3-R8.000-V0.450,3,8.0,0.45
01-A-P3-R8.000-V0.500,3,8.0,0.5
01-A-P3-R8.000-V0.550,3,8.0,0.55
01-A-P3-R8.000-V0.600,3,8.0,0.6
01-A-P3-R8.000-V0.650,3,8.0,0.65
01-A-P4-R1.750-V0.200,4,1.75,0.2
01-A-P4-R1.750-V0.250,4,1.75,0.25
01-A-P4-R1.750-V0.300,4,1.75,0.3
01-A-P4-R1.750-V0.350,4,1.75,0.35
01-A-P4-R1.750-V0.400,4,1.75,0.4
01-A-P4-R1.750-V0.450,4,1.75,0.45
01-A-P4-R1.750-V0.500,4,1.75,0.5
01-A-P4-R1.750-V0.550,4,1.75,0.55
01-A-P4-R1.750-V0.600,4,1.75,0.6
01-A-P4-R1.750-V0.650,4,1.75,0.65
01-A-P4-R2.000-V0.200,4,2.0,0.2
01-A-P4-R2.000-V0.250,4,2.0,0.25
01-A-P4-R2.000-V0.300,4,2.0,0.3
01-A-P4-R2.000-V0.350,4,2.0,0.35
01-A-P4-R2.000-V0.400,4,2.0,0.4
01-A-P4-R2.000-V0.450,4,2.0,0.45
01-A-P4-R2.000-V0.500,4,2.0,0.5
01-A-P4-R2.000-V0.550,4,2.0,0.55
01-A-P4-R2.000-V0.600,4,2.0,0.6
01-A-P4-R2.000-V0.650,4,2.0,0.65
01-A-P4-R2.250-V0.200,4,2.25,0.2
01-A-P4-R2.250-V0.250,4,2.25,0.25
01-A-P4-R2.250-V0.300,4,2.25,0.3
01-A-P4-R2.250-V0.350,4,2.25,0.35
01-A-P4-R2.250-V0.400,4,2.25,0.4
01-A-P4-R2.250-V0.450,4,2.25,0.45
